Cargo Type,Port ID,Port_Name,clean_port_name,Region,Reporting Year,State,Trade Type,Units,Port Ranking,Percent Change,Volume
CONTAINER,398,"New York, NY & NJ",NY-NJ,Atlantic Coast,2016,New Jersey and New York,EMPTY,Container TEUs,3,69.059405941,"20,831.5"
CONTAINER,398,"New York, NY & NJ",NY-NJ,Atlantic Coast,2016,New Jersey and New York,EXPORTS,Container TEUs,3,-1.672794761,"1,342,778.93"
CONTAINER,398,"New York, NY & NJ",NY-NJ,Atlantic Coast,2016,New Jersey and New York,IMPORTS,Container TEUs,3,-0.472728947,"3,232,084.43"
CONTAINER,398,"New York, NY & NJ",NY-NJ,Atlantic Coast,2016,New Jersey and New York,TOTAL,Container TEUs,3,-0.641809615,"4,595,694.86"
CONTAINER,398,"New York, NY & NJ",NY-NJ,Atlantic Coast,2017,New Jersey and New York,EMPTY,Container TEUs,3,-30.540287545,"14,469.5"
CONTAINER,398,"New York, NY & NJ",NY-NJ,Atlantic Coast,2017,New Jersey and New York,EXPORTS,Container TEUs,3,5.244461201,"1,413,200.45"
CONTAINER,398,"New York, NY & NJ",NY-NJ,Atlantic Coast,2017,New Jersey and New York,IMPORTS,Container TEUs,3,6.439501953,"3,440,214.57"
CONTAINER,398,"New York, NY & NJ",NY-NJ,Atlantic Coast,2017,New Jersey and New York,TOTAL,Container TEUs,3,5.922709586,"4,867,884.52"
CONTAINER,398,"New York, NY & NJ",NY-NJ,Atlantic Coast,2018,New Jersey and New York,EMPTY,Container TEUs,3,-65.723763779,"4,959.6"
CONTAINER,398,"New York, NY & NJ",NY-NJ,Atlantic Coast,2018,New Jersey and New York,EXPORTS,Container TEUs,3,6.154284058,"1,500,172.82"
CONTAINER,398,"New York, NY & NJ",NY-NJ,Atlantic Coast,2018,New Jersey and New York,IMPORTS,Container TEUs,3,9.944265192,"3,782,318.63"
CONTAINER,398,"New York, NY & NJ",NY-NJ,Atlantic Coast,2018,New Jersey and New York,TOTAL,Container TEUs,3,8.619073199,"5,287,451.05"
CONTAINER,398,"New York, NY & NJ",NY-NJ,Atlantic Coast,2019,New Jersey and New York,EMPTY,Container TEUs,2,134.803209936,"11,645.3"
CONTAINER,398,"New York, NY & NJ",NY-NJ,Atlantic Coast,2019,New Jersey and New York,EXPORTS,Container TEUs,2,-2.400755401,"1,464,157.34"
CONTAINER,398,"New York, NY & NJ",NY-NJ,Atlantic Coast,2019,New Jersey and New York,IMPORTS,Container TEUs,2,-0.127410207,"3,777,499.57"
CONTAINER,398,"New York, NY & NJ",NY-NJ,Atlantic Coast,2019,New Jersey and New York,TOTAL,Container TEUs,2,-0.645846925,"5,253,302.21"
CONTAINER,398,"New York, NY & NJ",NY-NJ,Atlantic Coast,2020,New Jersey and New York,EMPTY,Container TEUs,3,-100,0
CONTAINER,398,"New York, NY & NJ",NY-NJ,Atlantic Coast,2020,New Jersey and New York,EXPORTS,Container TEUs,3,-14.395832623,"1,253,379.7"
CONTAINER,398,"New York, NY & NJ",NY-NJ,Atlantic Coast,2020,New Jersey and New York,IMPORTS,Container TEUs,3,10.805556491,"4,185,679.42"
CONTAINER,398,"New York, NY & NJ",NY-NJ,Atlantic Coast,2020,New Jersey and New York,TOTAL,Container TEUs,3,3.536002738,"5,439,059.12"
CONTAINER,550,"South Jersey Port, NJ","South Jersey Port, NJ",Atlantic Coast,2020,New Jersey,EMPTY,Container TEUs,24,0,"22,795.85"
CONTAINER,550,"South Jersey Port, NJ","South Jersey Port, NJ",Atlantic Coast,2020,New Jersey,EXPORTS,Container TEUs,24,0,"50,423.25"
CONTAINER,550,"South Jersey Port, NJ","South Jersey Port, NJ",Atlantic Coast,2020,New Jersey,IMPORTS,Container TEUs,24,0,"110,637.55"
CONTAINER,550,"South Jersey Port, NJ","South Jersey Port, NJ",Atlantic Coast,2020,New Jersey,TOTAL,Container TEUs,24,0,"183,856.65"
CONTAINER,552,"Philadelphia Regional Port, PA","Philadelphia Regional Port, PA",Atlantic Coast,2016,Pennsylvania,EMPTY,Container TEUs,19,-37.149730358,"5,943.75"
CONTAINER,552,"Philadelphia Regional Port, PA","Philadelphia Regional Port, PA",Atlantic Coast,2016,Pennsylvania,EXPORTS,Container TEUs,19,-6.345522620,"78,293.27"
CONTAINER,552,"Philadelphia Regional Port, PA","Philadelphia Regional Port, PA",Atlantic Coast,2016,Pennsylvania,IMPORTS,Container TEUs,19,7.695503771,"239,164.79"
CONTAINER,552,"Philadelphia Regional Port, PA","Philadelphia Regional Port, PA",Atlantic Coast,2016,Pennsylvania,TOTAL,Container TEUs,19,2.624888141,"323,401.81"
CONTAINER,552,"Philadelphia Regional Port, PA","Philadelphia Regional Port, PA",Atlantic Coast,2017,Pennsylvania,EMPTY,Container TEUs,18,141.526813880,"14,355.75"
CONTAINER,552,"Philadelphia Regional Port, PA","Philadelphia Regional Port, PA",Atlantic Coast,2017,Pennsylvania,EXPORTS,Container TEUs,18,24.341134302,"97,350.74"
CONTAINER,552,"Philadelphia Regional Port, PA","Philadelphia Regional Port, PA",Atlantic Coast,2017,Pennsylvania,IMPORTS,Container TEUs,18,15.817466275,"276,994.6"
CONTAINER,552,"Philadelphia Regional Port, PA","Philadelphia Regional Port, PA",Atlantic Coast,2017,Pennsylvania,TOTAL,Container TEUs,18,20.191377408,"388,701.09"
CONTAINER,552,"Philadelphia Regional Port, PA","Philadelphia Regional Port, PA",Atlantic Coast,2018,Pennsylvania,EMPTY,Container TEUs,18,-80.671159640,"2,774.8"
CONTAINER,552,"Philadelphia Regional Port, PA","Philadelphia Regional Port, PA",Atlantic Coast,2018,Pennsylvania,EXPORTS,Container TEUs,18,-11.196278529,"86,451.08"
CONTAINER,552,"Philadelphia Regional Port, PA","Philadelphia Regional Port, PA",Atlantic Coast,2018,Pennsylvania,IMPORTS,Container TEUs,18,4.748774886,"290,148.45"
CONTAINER,552,"Philadelphia Regional Port, PA","Philadelphia Regional Port, PA",Atlantic Coast,2018,Pennsylvania,TOTAL,Container TEUs,18,-2.399468445,"379,374.33"
CONTAINER,552,"Philadelphia Regional Port, PA","Philadelphia Regional Port, PA",Atlantic Coast,2019,Pennsylvania,EMPTY,Container TEUs,18,34.056508577,"3,719.8"
CONTAINER,552,"Philadelphia Regional Port, PA","Philadelphia Regional Port, PA",Atlantic Coast,2019,Pennsylvania,EXPORTS,Container TEUs,18,-5.397468719,"81,784.91"
CONTAINER,552,"Philadelphia Regional Port, PA","Philadelphia Regional Port, PA",Atlantic Coast,2019,Pennsylvania,IMPORTS,Container TEUs,18,6.960533479,"310,344.33"
CONTAINER,552,"Philadelphia Regional Port, PA","Philadelphia Regional Port, PA",Atlantic Coast,2019,Pennsylvania,TOTAL,Container TEUs,18,4.342600091,"395,849.04"
CONTAINER,552,"Philadelphia Regional Port, PA","Philadelphia Regional Port, PA",Atlantic Coast,2020,Pennsylvania,EMPTY,Container TEUs,17,-100,0
CONTAINER,552,"Philadelphia Regional Port, PA","Philadelphia Regional Port, PA",Atlantic Coast,2020,Pennsylvania,EXPORTS,Container TEUs,17,16.676157007,"95,423.49"
CONTAINER,552,"Philadelphia Regional Port, PA","Philadelphia Regional Port, PA",Atlantic Coast,2020,Pennsylvania,IMPORTS,Container TEUs,17,40.333284001,"435,516.39"
CONTAINER,552,"Philadelphia Regional Port, PA","Philadelphia Regional Port, PA",Atlantic Coast,2020,Pennsylvania,TOTAL,Container TEUs,17,34.126858057,"530,939.88"
CONTAINER,554,"Wilmington, DE","Wilmington, DE",Atlantic Coast,2016,Delaware,EMPTY,Container TEUs,23,0,0
CONTAINER,554,"Wilmington, DE","Wilmington, DE",Atlantic Coast,2016,Delaware,EXPORTS,Container TEUs,23,3.494931133,"29,605.76"
CONTAINER,554,"Wilmington, DE","Wilmington, DE",Atlantic Coast,2016,Delaware,IMPORTS,Container TEUs,23,4.544923510,"172,350.67"
CONTAINER,554,"Wilmington, DE","Wilmington, DE",Atlantic Coast,2016,Delaware,TOTAL,Container TEUs,23,4.389669396,"201,956.43"
CONTAINER,554,"Wilmington, DE","Wilmington, DE",Atlantic Coast,2017,Delaware,EMPTY,Container TEUs,22,0,0
CONTAINER,554,"Wilmington, DE","Wilmington, DE",Atlantic Coast,2017,Delaware,EXPORTS,Container TEUs,22,-21.563675447,"23,221.67"
CONTAINER,554,"Wilmington, DE","Wilmington, DE",Atlantic Coast,2017,Delaware,IMPORTS,Container TEUs,22,-0.033309995,"172,293.26"
CONTAINER,554,"Wilmington, DE","Wilmington, DE",Atlantic Coast,2017,Delaware,TOTAL,Container TEUs,22,-3.189549350,"195,514.93"
CONTAINER,554,"Wilmington, DE","Wilmington, DE",Atlantic Coast,2018,Delaware,EMPTY,Container TEUs,23,0,0
CONTAINER,554,"Wilmington, DE","Wilmington, DE",Atlantic Coast,2018,Delaware,EXPORTS,Container TEUs,23,1.269676126,"23,516.51"
CONTAINER,554,"Wilmington, DE","Wilmington, DE",Atlantic Coast,2018,Delaware,IMPORTS,Container TEUs,23,3.041877552,"177,534.21"
CONTAINER,554,"Wilmington, DE","Wilmington, DE",Atlantic Coast,2018,Delaware,TOTAL,Container TEUs,23,2.831389910,"201,050.72"
CONTAINER,554,"Wilmington, DE","Wilmington, DE",Atlantic Coast,2019,Delaware,EMPTY,Container TEUs,23,0,0
CONTAINER,554,"Wilmington, DE","Wilmington, DE",Atlantic Coast,2019,Delaware,EXPORTS,Container TEUs,23,-16.545737441,"19,625.53"
CONTAINER,554,"Wilmington, DE","Wilmington, DE",Atlantic Coast,2019,Delaware,IMPORTS,Container TEUs,23,4.903607029,"186,239.79"
CONTAINER,554,"Wilmington, DE","Wilmington, DE",Atlantic Coast,2019,Delaware,TOTAL,Container TEUs,23,2.394719104,"205,865.32"
CONTAINER,554,"Wilmington, DE","Wilmington, DE",Atlantic Coast,2020,Delaware,EMPTY,Container TEUs,22,0,0
CONTAINER,554,"Wilmington, DE","Wilmington, DE",Atlantic Coast,2020,Delaware,EXPORTS,Container TEUs,22,-7.322961469,"18,188.36"
CONTAINER,554,"Wilmington, DE","Wilmington, DE",Atlantic Coast,2020,Delaware,IMPORTS,Container TEUs,22,5.385122052,"196,269.03"
CONTAINER,554,"Wilmington, DE","Wilmington, DE",Atlantic Coast,2020,Delaware,TOTAL,Container TEUs,22,4.173636434,"214,457.39"
CONTAINER,700,"Baltimore, MD",Baltimore,Atlantic Coast,2016,Maryland,EMPTY,Container TEUs,16,-55.854249857,"3,095.5"
CONTAINER,700,"Baltimore, MD",Baltimore,Atlantic Coast,2016,Maryland,EXPORTS,Container TEUs,16,9.381689776,"228,294.9"
CONTAINER,700,"Baltimore, MD",Baltimore,Atlantic Coast,2016,Maryland,IMPORTS,Container TEUs,16,6.879279950,"428,021.59"
CONTAINER,700,"Baltimore, MD",Baltimore,Atlantic Coast,2016,Maryland,TOTAL,Container TEUs,16,7.013003937,"659,411.99"
CONTAINER,700,"Baltimore, MD",Baltimore,Atlantic Coast,2017,Maryland,EMPTY,Container TEUs,16,166.871264739,"8,261"
CONTAINER,700,"Baltimore, MD",Baltimore,Atlantic Coast,2017,Maryland,EXPORTS,Container TEUs,16,7.009171033,"244,296.48"
CONTAINER,700,"Baltimore, MD",Baltimore,Atlantic Coast,2017,Maryland,IMPORTS,Container TEUs,16,12.263044955,"480,510.07"
CONTAINER,700,"Baltimore, MD",Baltimore,Atlantic Coast,2017,Maryland,TOTAL,Container TEUs,16,11.169884855,"733,067.55"
CONTAINER,700,"Baltimore, MD",Baltimore,Atlantic Coast,2018,Maryland,EMPTY,Container TEUs,15,-82.842876165,"1,417.35"
CONTAINER,700,"Baltimore, MD",Baltimore,Atlantic Coast,2018,Maryland,EXPORTS,Container TEUs,15,-6.383612240,"228,701.54"
CONTAINER,700,"Baltimore, MD",Baltimore,Atlantic Coast,2018,Maryland,IMPORTS,Container TEUs,15,0.828055487,"484,488.96"
CONTAINER,700,"Baltimore, MD",Baltimore,Atlantic Coast,2018,Maryland,TOTAL,Container TEUs,15,-2.518144474,"714,607.85"
CONTAINER,700,"Baltimore, MD",Baltimore,Atlantic Coast,2019,Maryland,EMPTY,Container TEUs,15,53.010900624,"2,168.7"
CONTAINER,700,"Baltimore, MD",Baltimore,Atlantic Coast,2019,Maryland,EXPORTS,Container TEUs,15,0.696383592,"230,294.18"
CONTAINER,700,"Baltimore, MD",Baltimore,Atlantic Coast,2019,Maryland,IMPORTS,Container TEUs,15,5.290289793,"510,119.83"
CONTAINER,700,"Baltimore, MD",Baltimore,Atlantic Coast,2019,Maryland,TOTAL,Container TEUs,15,3.914714903,"742,582.71"
CONTAINER,700,"Baltimore, MD",Baltimore,Atlantic Coast,2020,Maryland,EMPTY,Container TEUs,15,-100,0
CONTAINER,700,"Baltimore, MD",Baltimore,Atlantic Coast,2020,Maryland,EXPORTS,Container TEUs,15,-10.771757237,"205,487.45"
CONTAINER,700,"Baltimore, MD",Baltimore,Atlantic Coast,2020,Maryland,IMPORTS,Container TEUs,15,2.818592643,"524,498.03"
CONTAINER,700,"Baltimore, MD",Baltimore,Atlantic Coast,2020,Maryland,TOTAL,Container TEUs,15,-1.696407663,"729,985.48"
CONTAINER,766,"Wilmington, NC","Wilmington, NC",Atlantic Coast,2016,North Carolina,EMPTY,Container TEUs,21,0,0
CONTAINER,766,"Wilmington, NC","Wilmington, NC",Atlantic Coast,2016,North Carolina,EXPORTS,Container TEUs,21,-2.588402803,"104,675.58"
CONTAINER,766,"Wilmington, NC","Wilmington, NC",Atlantic Coast,2016,North Carolina,IMPORTS,Container TEUs,21,-18.128788665,"102,564.16"
CONTAINER,766,"Wilmington, NC","Wilmington, NC",Atlantic Coast,2016,North Carolina,TOTAL,Container TEUs,21,-10.953482976,"207,239.74"
CONTAINER,766,"Wilmington, NC","Wilmington, NC",Atlantic Coast,2017,North Carolina,EMPTY,Container TEUs,23,0,0
CONTAINER,766,"Wilmington, NC","Wilmington, NC",Atlantic Coast,2017,North Carolina,EXPORTS,Container TEUs,23,-1.366460066,"103,245.23"
CONTAINER,766,"Wilmington, NC","Wilmington, NC",Atlantic Coast,2017,North Carolina,IMPORTS,Container TEUs,23,-26.270580288,"75,619.96"
CONTAINER,766,"Wilmington, NC","Wilmington, NC",Atlantic Coast,2017,North Carolina,TOTAL,Container TEUs,23,-13.691654892,"178,865.19"
CONTAINER,766,"Wilmington, NC","Wilmington, NC",Atlantic Coast,2018,North Carolina,EMPTY,Container TEUs,21,0,0
CONTAINER,766,"Wilmington, NC","Wilmington, NC",Atlantic Coast,2018,North Carolina,EXPORTS,Container TEUs,21,11.594249923,"115,215.74"
CONTAINER,766,"Wilmington, NC","Wilmington, NC",Atlantic Coast,2018,North Carolina,IMPORTS,Container TEUs,21,51.448744485,"114,525.48"
CONTAINER,766,"Wilmington, NC","Wilmington, NC",Atlantic Coast,2018,North Carolina,TOTAL,Container TEUs,21,28.443784953,"229,741.22"
CONTAINER,766,"Wilmington, NC","Wilmington, NC",Atlantic Coast,2019,North Carolina,EMPTY,Container TEUs,21,0,0
CONTAINER,766,"Wilmington, NC","Wilmington, NC",Atlantic Coast,2019,North Carolina,EXPORTS,Container TEUs,21,-3.135292105,"111,603.39"
CONTAINER,766,"Wilmington, NC","Wilmington, NC",Atlantic Coast,2019,North Carolina,IMPORTS,Container TEUs,21,5.077018669,"120,339.96"
CONTAINER,766,"Wilmington, NC","Wilmington, NC",Atlantic Coast,2019,North Carolina,TOTAL,Container TEUs,21,0.958526293,"231,943.35"
CONTAINER,766,"Wilmington, NC","Wilmington, NC",Atlantic Coast,2020,North Carolina,EMPTY,Container TEUs,21,0,0
CONTAINER,766,"Wilmington, NC","Wilmington, NC",Atlantic Coast,2020,North Carolina,EXPORTS,Container TEUs,21,-6.036196571,"104,866.79"
CONTAINER,766,"Wilmington, NC","Wilmington, NC",Atlantic Coast,2020,North Carolina,IMPORTS,Container TEUs,21,5.190079837,"126,585.7"
CONTAINER,766,"Wilmington, NC","Wilmington, NC",Atlantic Coast,2020,North Carolina,TOTAL,Container TEUs,21,-0.211629262,"231,452.49"
CONTAINER,773,"Charleston, SC Port of","Charleston, SC Port of",Atlantic Coast,2016,South Carolina,EMPTY,Container TEUs,9,0,169.25
CONTAINER,773,"Charleston, SC Port of","Charleston, SC Port of",Atlantic Coast,2016,South Carolina,EXPORTS,Container TEUs,9,1.752869228,"728,420.3"
CONTAINER,773,"Charleston, SC Port of","Charleston, SC Port of",Atlantic Coast,2016,South Carolina,IMPORTS,Container TEUs,9,5.846660189,"884,566.89"
CONTAINER,773,"Charleston, SC Port of","Charleston, SC Port of",Atlantic Coast,2016,South Carolina,TOTAL,Container TEUs,9,3.968762125,"1,613,156.44"
CONTAINER,773,"Charleston, SC Port of","Charleston, SC Port of",Atlantic Coast,2017,South Carolina,EMPTY,Container TEUs,8,-100,0
CONTAINER,773,"Charleston, SC Port of","Charleston, SC Port of",Atlantic Coast,2017,South Carolina,EXPORTS,Container TEUs,8,6.802687954,"777,972.46"
CONTAINER,773,"Charleston, SC Port of","Charleston, SC Port of",Atlantic Coast,2017,South Carolina,IMPORTS,Container TEUs,8,6.388758232,"941,079.73"
CONTAINER,773,"Charleston, SC Port of","Charleston, SC Port of",Atlantic Coast,2017,South Carolina,TOTAL,Container TEUs,8,6.564505920,"1,719,052.19"
CONTAINER,773,"Charleston, SC Port of","Charleston, SC Port of",Atlantic Coast,2018,South Carolina,EMPTY,Container TEUs,8,0,0
CONTAINER,773,"Charleston, SC Port of","Charleston, SC Port of",Atlantic Coast,2018,South Carolina,EXPORTS,Container TEUs,8,0.383250070,"780,954.04"
CONTAINER,773,"Charleston, SC Port of","Charleston, SC Port of",Atlantic Coast,2018,South Carolina,IMPORTS,Container TEUs,8,8.610835768,"1,022,114.56"
CONTAINER,773,"Charleston, SC Port of","Charleston, SC Port of",Atlantic Coast,2018,South Carolina,TOTAL,Container TEUs,8,4.887368196,"1,803,068.6"
CONTAINER,773,"Charleston, SC Port of","Charleston, SC Port of",Atlantic Coast,2019,South Carolina,EMPTY,Container TEUs,7,0,0
CONTAINER,773,"Charleston, SC Port of","Charleston, SC Port of",Atlantic Coast,2019,South Carolina,EXPORTS,Container TEUs,7,2.033898179,"796,837.85"
CONTAINER,773,"Charleston, SC Port of","Charleston, SC Port of",Atlantic Coast,2019,South Carolina,IMPORTS,Container TEUs,7,3.464559785,"1,057,526.33"
CONTAINER,773,"Charleston, SC Port of","Charleston, SC Port of",Atlantic Coast,2019,South Carolina,TOTAL,Container TEUs,7,2.844904514,"1,854,364.18"
CONTAINER,773,"Charleston, SC Port of","Charleston, SC Port of",Atlantic Coast,2020,South Carolina,EMPTY,Container TEUs,8,0,0
CONTAINER,773,"Charleston, SC Port of","Charleston, SC Port of",Atlantic Coast,2020,South Carolina,EXPORTS,Container TEUs,8,-7.549448109,"736,680.99"
CONTAINER,773,"Charleston, SC Port of","Charleston, SC Port of",Atlantic Coast,2020,South Carolina,IMPORTS,Container TEUs,8,2.547476998,"1,084,466.57"
CONTAINER,773,"Charleston, SC Port of","Charleston, SC Port of",Atlantic Coast,2020,South Carolina,TOTAL,Container TEUs,8,-1.791267344,"1,821,147.56"
CONTAINER,776,"Savannah, GA Port of","Savannah, GA Port of",Atlantic Coast,2016,Georgia,EMPTY,Container TEUs,4,0,0
CONTAINER,776,"Savannah, GA Port of","Savannah, GA Port of",Atlantic Coast,2016,Georgia,EXPORTS,Container TEUs,4,1.752598509,"1,226,234.81"
CONTAINER,776,"Savannah, GA Port of","Savannah, GA Port of",Atlantic Coast,2016,Georgia,IMPORTS,Container TEUs,4,2.738057129,"1,663,758.59"
CONTAINER,776,"Savannah, GA Port of","Savannah, GA Port of",Atlantic Coast,2016,Georgia,TOTAL,Container TEUs,4,2.317601642,"2,889,993.4"
CONTAINER,776,"Savannah, GA Port of","Savannah, GA Port of",Atlantic Coast,2017,Georgia,EMPTY,Container TEUs,4,0,0
CONTAINER,776,"Savannah, GA Port of","Savannah, GA Port of",Atlantic Coast,2017,Georgia,EXPORTS,Container TEUs,4,5.971066830,"1,299,454.11"
CONTAINER,776,"Savannah, GA Port of","Savannah, GA Port of",Atlantic Coast,2017,Georgia,IMPORTS,Container TEUs,4,11.511241544,"1,855,277.86"
CONTAINER,776,"Savannah, GA Port of","Savannah, GA Port of",Atlantic Coast,2017,Georgia,TOTAL,Container TEUs,4,9.160525072,"3,154,731.97"
CONTAINER,776,"Savannah, GA Port of","Savannah, GA Port of",Atlantic Coast,2018,Georgia,EMPTY,Container TEUs,4,0,0
CONTAINER,776,"Savannah, GA Port of","Savannah, GA Port of",Atlantic Coast,2018,Georgia,EXPORTS,Container TEUs,4,4.619856102,"1,359,487.02"
CONTAINER,776,"Savannah, GA Port of","Savannah, GA Port of",Atlantic Coast,2018,Georgia,IMPORTS,Container TEUs,4,9.275873103,"2,027,371.08"
CONTAINER,776,"Savannah, GA Port of","Savannah, GA Port of",Atlantic Coast,2018,Georgia,TOTAL,Container TEUs,4,7.358030166,"3,386,858.1"
CONTAINER,776,"Savannah, GA Port of","Savannah, GA Port of",Atlantic Coast,2019,Georgia,EMPTY,Container TEUs,4,0,0
CONTAINER,776,"Savannah, GA Port of","Savannah, GA Port of",Atlantic Coast,2019,Georgia,EXPORTS,Container TEUs,4,3.015107860,"1,400,477.02"
CONTAINER,776,"Savannah, GA Port of","Savannah, GA Port of",Atlantic Coast,2019,Georgia,IMPORTS,Container TEUs,4,4.693675516,"2,122,529.3"
CONTAINER,776,"Savannah, GA Port of","Savannah, GA Port of",Atlantic Coast,2019,Georgia,TOTAL,Container TEUs,4,4.019897379,"3,523,006.32"
CONTAINER,776,"Savannah, GA Port of","Savannah, GA Port of",Atlantic Coast,2020,Georgia,EMPTY,Container TEUs,4,0,0
CONTAINER,776,"Savannah, GA Port of","Savannah, GA Port of",Atlantic Coast,2020,Georgia,EXPORTS,Container TEUs,4,-4.567879307,"1,336,504.92"
CONTAINER,776,"Savannah, GA Port of","Savannah, GA Port of",Atlantic Coast,2020,Georgia,IMPORTS,Container TEUs,4,11.413869764,"2,364,792.03"
CONTAINER,776,"Savannah, GA Port of","Savannah, GA Port of",Atlantic Coast,2020,Georgia,TOTAL,Container TEUs,4,5.060752488,"3,701,296.95"
CONTAINER,1911,"Port Everglades, FL","Port Everglades, FL",Atlantic Coast,2016,Florida,EMPTY,Container TEUs,15,0,0
CONTAINER,1911,"Port Everglades, FL","Port Everglades, FL",Atlantic Coast,2016,Florida,EXPORTS,Container TEUs,15,2.469158987,"406,507.45"
CONTAINER,1911,"Port Everglades, FL","Port Everglades, FL",Atlantic Coast,2016,Florida,IMPORTS,Container TEUs,15,4.898329118,"335,120.79"
CONTAINER,1911,"Port Everglades, FL","Port Everglades, FL",Atlantic Coast,2016,Florida,TOTAL,Container TEUs,15,3.552751807,"741,628.24"
CONTAINER,1911,"Port Everglades, FL","Port Everglades, FL",Atlantic Coast,2017,Florida,EMPTY,Container TEUs,13,0,0
CONTAINER,1911,"Port Everglades, FL","Port Everglades, FL",Atlantic Coast,2017,Florida,EXPORTS,Container TEUs,13,3.001686685,"418,709.53"
CONTAINER,1911,"Port Everglades, FL","Port Everglades, FL",Atlantic Coast,2017,Florida,IMPORTS,Container TEUs,13,5.128007725,"352,305.81"
CONTAINER,1911,"Port Everglades, FL","Port Everglades, FL",Atlantic Coast,2017,Florida,TOTAL,Container TEUs,13,3.962510921,"771,015.34"
CONTAINER,1911,"Port Everglades, FL","Port Everglades, FL",Atlantic Coast,2018,Florida,EMPTY,Container TEUs,13,0,0
CONTAINER,1911,"Port Everglades, FL","Port Everglades, FL",Atlantic Coast,2018,Florida,EXPORTS,Container TEUs,13,2.510107663,"429,219.59"
CONTAINER,1911,"Port Everglades, FL","Port Everglades, FL",Atlantic Coast,2018,Florida,IMPORTS,Container TEUs,13,3.836942116,"365,823.58"
CONTAINER,1911,"Port Everglades, FL","Port Everglades, FL",Atlantic Coast,2018,Florida,TOTAL,Container TEUs,13,3.116388060,"795,043.17"
CONTAINER,1911,"Port Everglades, FL","Port Everglades, FL",Atlantic Coast,2019,Florida,EMPTY,Container TEUs,16,0,0
CONTAINER,1911,"Port Everglades, FL","Port Everglades, FL",Atlantic Coast,2019,Florida,EXPORTS,Container TEUs,16,-7.253848782,"398,084.65"
CONTAINER,1911,"Port Everglades, FL","Port Everglades, FL",Atlantic Coast,2019,Florida,IMPORTS,Container TEUs,16,-16.348598961,"306,016.55"
CONTAINER,1911,"Port Everglades, FL","Port Everglades, FL",Atlantic Coast,2019,Florida,TOTAL,Container TEUs,16,-11.438620371,"704,101.2"
CONTAINER,1911,"Port Everglades, FL","Port Everglades, FL",Atlantic Coast,2020,Florida,EMPTY,Container TEUs,16,0,0
CONTAINER,1911,"Port Everglades, FL","Port Everglades, FL",Atlantic Coast,2020,Florida,EXPORTS,Container TEUs,16,-19.267070459,"321,385.4"
