Grantor,Grantee,grantee_clean,Zip Code,Fiscal Year,Amount,Description,Category,Fiscal Period,Date
Department of Human Resources/Family Investment Administration,BENEFITS DATA TRUST,Benefits Data Trust,19103,2016,998436.88,"Funds are used to provide Food Supplement Outreach Programs that provides monthly benefits to eligible low-income individuals and families to help them purchase food, provide nutritional education, pre-screening, application assistance and follow-up.",Grant,1,06/30/2016 12:00:00 AM
Department of Health and Mental Hygiene/Infectious Disease & Environmental Health Services,Maryland Partnership for Prevention,Maryland Partnership For Prevention,21208,2012,1314000,Immunization Program,Grant,1,06/30/2012 12:00:00 AM
Boards and Commissions/Center for Victims and the Law,"Maryland Crime Victims' Resource Center, Inc.","Maryland Crime Victims' Resource Center, Inc.",20774,2014,223572.84,Maryland Victims of Crime,Grant,1,06/30/2014 12:00:00 AM
"Department of State Police/Vehicle Theft Prevention Program for Youth in Prince George's County, MD","Take Charge Juvenile Diversion Program, Inc.","Take Charge Juvenile Diversion Program, Inc.",20747,2014,90000,Increase public awareness to students & citizens and reduce juvenile involvement of vehicle theft.,Grant,1,06/30/2014 12:00:00 AM
Maryland Energy Administration/PV in Parking Lots Grants Program,"Melwood Horticultural Training Center, Inc.","Melwood Horticultural Training Center, Inc.",20772-3602,2014,400000,Grant for solar canopy with charging stations in parking lots,Grant,1,06/30/2014 12:00:00 AM
Boards and Commissions/Governor's Office of Crime Control and Prevention,"Cecil Partnerships for Children, Youth and Families","Cecil Partnerships For Children, Youth And Families",21921,2011,8597.76,Peer-to-Peer Alcohol Prevention,Grant,1,06/30/2011 12:00:00 AM
Department of Housing and Community Development/Empower MD SMECCO,Southern Maryland Tri-County. Community Action Committee (SMTCCAC Inc.),"Southern Maryland Tri-county. Community Action Committee, Inc (smtccac Inc)",20637,2014,732032,weatherization activities/products,Grant,1,06/30/2014 12:00:00 AM
Department of Planning/Heritage Areas Authority,"Mount Vernon Place Conservancy, Inc.","Mount Vernon Place Conservancy, Inc.",21231,2016,50000,"FY 2014 Maryland Heritage Areas Authority - a comprehensive restoration of the Washington Monument, MHAA funding will support the Monument’s marble stone repointing.",Grant,1,06/30/2016 12:00:00 AM
State Department of Education/Children at Risk,FOUNDATION FOR BLSYW,Foundation For Blsyw,21201,2016,72209,21st Century Community Learning Centers,Grant,1,06/30/2016 12:00:00 AM
Department of Agriculture/CONSERVATION GRANTS,TURNER FARMS INC,"Turner Farms, Inc.",21632,2016,64701,COVER CROP COMMODITY,Grant,1,06/30/2016 12:00:00 AM
Department of Health and Mental Hygiene - Prevention & Health Promotion Administration,Black AIDS Institute,Black Aids Institute,90057,2015,101999,HIV Prevention Services,Grant,1,06/30/2015 12:00:00 AM
Judiciary/Mediation and Conflict Resolution Office,Anne Arundel Conflict Resolution Center,Anne Arundel Conflict Resolution Center,21401,2009,75000,Community Mediation Performance Grant Funds,Grant,1,06/30/2009 12:00:00 AM
Department of Agriculture/CONSERVATION GRANTS,LEAGER FARMS,Leager Farms,21668-1224,2011,95936,COVER CROP,Grant,1,06/30/2011 12:00:00 AM
Department of Business & Economic Development/MD Economic Development Assistance Authority and Fund,OPGEN INC,Opgen Inc,20876,2010,100000,MD Economic Development Assistance Authority and Fund (MEDAAF) Investment,Loan,1,06/30/2010 12:00:00 AM
Department of Business and Economic Development - Office of Business Development,Montgomery County Chamber Comm Foundation Inc,Montgomery County Chamber Comm Foundation Inc,20850,2015,93106.31,ECONOMIC DEVELOPMENT GRANT,Grant,1,06/30/2015 12:00:00 AM
Department of Natural Resources/Chesapeake & Atlantic Coastal Bays Trust Fund,Smithsonian Institute Environmental Research Center,Smithsonian Institute Environmental Research Center,20005,2014,83703.51,North Branch Muddy Creek Restoration,Grant,1,06/30/2014 12:00:00 AM
Department of Housing & Community Development/Neighborhood Business Development,Jean Marie's LLC/J Marie's Restaurant,Jean Marie's Llc/j Marie's Restaurant,20782,2010,135000,small business development loan,Loan,1,06/30/2010 12:00:00 AM
Department of Natural Resources/Game Management Program,Farmers and Hunters Feeding the Hungry,Farmers And Hunters Feeding The Hungry,21795,2013,248120,Deer donation program to feed to food shelters,Grant,1,06/30/2013 12:00:00 AM
Maryland Energy Administration/Low-to-Moderate Income (LMI) Community Grants,B'nai B'rith Homecrest House (Montgomery) FY16,B'nai B'rith Homecrest House (montgomery) Fy16,20906,2016,190000,The low and moderate income sector,Grant,1,06/30/2016 12:00:00 AM
Freedom Fleet Voucher Program,Roush CleanTech,Roush Cleantech,21701,2018,463425,Financial assistance for the purchase of new and converted alternative fueled vehicles registered in the state of Maryland,Grant,1,06/30/2018 12:00:00 AM
Maryland Energy Administration/MEEHA - Multifamily,North Creek Run,North Creek Run,21229-1470,2012,132500,Building Retrofits,Grant,1,06/30/2012 12:00:00 AM
Maryland Technology Development Corporation/Fort Detrick Technology Transfer Initiative (FDTTI),Biomedica Management Corp.,Biomedica Management Corp.,21227,2009,50000,Support US Army Medical Technology Transfer,Grant,1,06/30/2009 12:00:00 AM
Department of Agriculture/Resource Conservation Grants,C RICHARD WEAVER,C Richard Weaver,210481207,2017,79853.79,"Taxable Grants, Contrib &Subs",Grant,1,06/30/2017 12:00:00 AM
Military Department/Maryland Emergency Management Agency (MEMA),SHEPPARD PRATT HOSPITAL,Sheppard Pratt Hospital,21204,2017,150201.58,Shepperd Pratt Health System Inc,Grant,1,06/30/2017 12:00:00 AM
Governor's Office of Crime Control and Prevention,"Baltimore Child Abuse Center, Inc.","Baltimore Child Abuse Center, Inc.",21218,2018,5307.69,Maryland Victims of Crime,Grant,1,06/30/2018 12:00:00 AM
Judiciary/Department of Family Administration,Voices for Children Inc,Voices For Children Inc,21044,2009,103590,Advocacy for children in foster care,Grant,1,06/30/2009 12:00:00 AM
Department of Housing and Community Development/Housing Counseling - State Funds,Washington County Community Action Council,Washington County Community Action Council,21740,2011,20500,foreclosure/housing counseling activities,Grant,1,06/30/2011 12:00:00 AM
Maryland Department of Education/FOOD SERVICES PROGRAM,KIDDIE CASTLE CHILD DEVELOPMENT CENTER INC,Kiddie Castle Child Development Center Inc,21215,2014,103700.28,CASH FOR COMMODITIES- CHILD CARE,Grant,1,06/30/2014 12:00:00 AM
Maryland State Department of Education/DIV OF REHABILITATION SERVICES-HQ,FREEDOM CENTER INC,Freedom Center Inc,21702,2011,62355,Independent Living,Grant,1,06/30/2011 12:00:00 AM
Maryland Department of Transportation - Maryland Highway Safety Office,Washington College,Washington College,21620 - 1197,2015,271890,Min. Penalty for Rep. Off. For Driv w/Intox,Grant,1,06/30/2015 12:00:00 AM
Department of Agriculture/CONSERVATION GRANTS,"CLEARVIEW FARMS, INC.","Clearview Farms, Inc.",21643,2012,83311,COVER CROP,Grant,1,06/30/2012 12:00:00 AM
Boards and Commissions - Governor's Office of Crime Control and Prevention,Anne Arundel Medical Center,Anne Arundel Medical Center,21401,2015,6215,Byrne - Justice Assistance Grant (JAG) Program Interest,Grant,1,06/30/2015 12:00:00 AM
Department of Agriculture/MARKETING-TOBACCO TRANSITION,TRI-COUNTY COUNCIL FOR SOUTHERN MARYLAND,Tri-county Council For Southern Maryland,20637,2016,2231031.73,GRANTS TO NON-GOV ENTITIES,Grant,1,06/30/2016 12:00:00 AM
Governor's Office of Crime Control and Prevention/Governor's Office of Crime Control and Prevention,Greater Baltimore Medical Center (GBMC),Greater Baltimore Medical Center (gbmc),21204,2017,27493,Violence Against Women,Grant,1,06/30/2017 12:00:00 AM
Department of Transportation/FACILITIES AND CAPITAL EQUIPMENT,MILANI CONSTRUCTION LLC,"Milani Construction, Llc",20020-7007,2014,106340.18,Bikeways Program,Grant,1,06/30/2014 12:00:00 AM
Department of Agriculture/Resource Conservation Grants,"ARBAUGH'S FLOWING SPRINGS, INC",Arbaugh's Flowing Springs Inc.,217919050,2017,70874.43,Manure Transport,Grant,1,06/30/2017 12:00:00 AM
Department of Health & Mental Hygiene/Prevention and Disease Control,Allegany County Health Department,Allegany County Health Department,21501,2010,107000,Md Cancer Fund-Treatment,Grant,1,06/30/2010 12:00:00 AM
Maryland Department of Planning/MDP- Heritage Areas Authority,"Heritage Alliance of Montgomery County, Inc.","Heritage Alliance Of Montgomery County, Inc.",20876,2017,97065,FY 2016 & FY 2017 MHAA Grants - Operating Assistance,Grant,1,06/30/2017 12:00:00 AM
Maryland Highway Safety,Chesapeake Region Safety Council,Chesapeake Region Safety Council,21244-2649,2018,276391.14,Funds the law enforcement liaisons who coordinate between the Maryland Highway Safety Office (MHSO) and local enforcement agencies.,Grant,1,06/30/2018 12:00:00 AM
MD Stem Cell Research Fund,Theradaptive Inc.,"Theradaptive, Inc.",21704,2018,299005,Stem Cell Research Grant,Grant,1,06/30/2018 12:00:00 AM
Department of The Environment/Bay Restoration Fund - Septic Systems,Canaan Valley Institute,Canaan Valley Institute,26260,2013,931871,Septic System Upgrade Program,Grant,1,06/30/2013 12:00:00 AM
OPERATING ASSISTANCE GRANT,HABITAT FOR HUMANITY CHOPTANK INC,"Habitat For Humanity Choptank, Inc.",21601,2018,25000,OPERATING ASSISTANCE GRANT,Grant,1,06/30/2018 12:00:00 AM
Department of Human Resources/Office of Grants Management,Optimal Solutions Group,Optimal Solutions Group,20740,2010,268848,Funds are used to provide services to develop parenting skills and assistance with child support related issues to enable fathers to better meet the needs of their children,Grant,1,06/30/2010 12:00:00 AM
Maryland State Department of Education - Transitional Education School Readiness,Frederick Co Public Schools,Frederick Co Public Schools,21702 - 3006,2015,336894,HOYER-GENERAL FUNDS,Grant,1,06/30/2015 12:00:00 AM
Department of Housing and Community Development/NBD Capital Loan & Grants,Keel's Auto Body Works LL,Keel's Auto Body Works Ll,21795,2012,100000,weatherization activities/products,Grant,1,06/30/2012 12:00:00 AM
Department of Planning/MDP - Historic Preservation Grant Program,"Kennard Alumni Association, Inc.","Kennard Alumni Association, Inc.",21617,2013,25200,Project work includes restoration of interior doors.,,1,06/30/2013 12:00:00 AM
Department of Housing and Community Development/Weatherization - MD Energy Assistance,Allegany Co Human Resources Development Commission Inc,"Allegany Co. Human Resources Development Commission, Inc.",21502,2011,90000,weatherization activities/products,Grant,1,06/30/2011 12:00:00 AM
Governor's Office of Crime Control and Prevention,"TurnAround, Inc. (Baltimore County)","Turnaround, Inc. (baltimore County)",21286,2018,8334,Reimbursable funds from MDH for Sexual Assault/Rape Crisis Grant Program (SARC) - Rape Crisis Intervention,Grant,1,06/30/2018 12:00:00 AM
Department of Planning/MDP - Maryland Heritage Areas Authority,"Annapolis, London Town & South County Heritage Area, Inc.","Annapolis, London Town & South County Heritage Area, Inc.",21401,2010,85000,"FY 2008, 2009, 2010 MHAA Operating Assistance Grants - Operating assistance to support staff salaries, operation costs and general overhead expenses to implement the approved heritage area management plan.",Grant,1,06/30/2010 12:00:00 AM
Governor's Office of Crime Control and Prevention/Governor's Office of Crime Control and Prevention,"The Family Recovery Program, Inc.","The Family Recovery Program, Inc.",21202,2017,73566,Byrne - Justice Assistance Grant (JAG) Program,Grant,1,06/30/2017 12:00:00 AM
Maryland Department of Education/Food Services Program,CENTRONIA,Centronia,20912,2012,89905.14,FOOD SERVICE - CHILD CARE,Grant,1,06/30/2012 12:00:00 AM
Maryland Department of Education/FOOD SERVICES PROGRAM,EL SHADDAI HEALTH CARE INC,El Shaddai Health Care Inc,21207,2014,200599.44,CASH FOR COMMODITIES- CHILD CARE,Grant,1,06/30/2014 12:00:00 AM
Department of Aging/State Nutrition,"The Washington County Commission on Aging, Inc.","The Washington County Commission On Aging, Inc.",21740,2013,75637,Meals for Seniors,Grant,1,06/30/2013 12:00:00 AM
Judiciary/Department of Family Administration,Court Appointed Special Advocates (CASA) of Baltimore County,Court Appointed Special Advocates (CASA) Of Baltimore County,21204,2014,132132,Advocacy for children in Foster Care,Grant,1,06/30/2014 12:00:00 AM
Department of Business and Economic Development/Maryland State Arts Council,ACADEMY ART MUSEUM,Academy Art Museum,21601,2011,63458,Grants to Arts Organizations,Grant,1,06/30/2011 12:00:00 AM
Department of Agriculture/Resource Conservation Capital Grants,JONATHAN C QUINN,Jonathan C Quinn,21912,2017,105936.74,"Other Grants, Subs & Contribution",Grant,1,06/30/2017 12:00:00 AM
Facilities and Capital Equipment,COACH & EQUIP / HUMANIM,Coach & Equip / Humanim,21046-1071,2018,193355.2,COACH & EQUIP - SMALL BUS,Grant,1,06/30/2018 12:00:00 AM
Department Of Business and Economic Development/Office of Business Services,UPPER SHORE REGIONAL COUNCIL,Upper Shore Regional Council,21620,2012,50000,Regional Economic Development Grant,Grant,1,06/30/2012 12:00:00 AM
Maryland Department of Education/Food Services Program,RAINBOW ADULT DAY HEALTH CARE OF BALTO COUNTY LLC,Rainbow Adult Day Health Care Of Balto County Llc,21208,2012,142677.79,FOOD SERVICE - CHILD CARE,Grant,1,06/30/2012 12:00:00 AM
Governor's Office of Crime Control and Prevention/Governor's Office of Crime Control and Prevention,"Heartly House, Inc.","Heartly House, Inc.",21705,2017,17721,Reimbursable funds from DHMH for SARC - Community Sexual Violence Prevention,Grant,1,06/30/2017 12:00:00 AM
Department of Business and Economic Development - MD Small Business Development Financing Authority (MSBDFA),Unified Solutions Services LLC,Unified Solutions Services Llc,21046,2015,112600,MSBDFA Contract Finance - Line of Credit,Loan,1,06/30/2015 12:00:00 AM
Maryland Department of Education/TRANSITIONAL EDUCATION FUNDING,JOHN HOPKINS UNIVERSITY,John Hopkins University,60693,2014,531233,HOYER,Grant,1,06/30/2014 12:00:00 AM
Maryland Higher Education Commission/Aid to Non Public Institutions,Mount St Marys University,Mount St. Mary's University,21727,2012,1499795,Sellinger Formula Aid,Grant,1,06/30/2012 12:00:00 AM
DIVISION OF EARLY CHILDHOOD DEVELOPMENT,PRINCE GEORGES CHILD RESOURCE CENTER INC,Prince George's Child Resource Center Inc,20774,2018,148500,MARYLAND PRE-KINDERGARTEN EXPANSION,Grant,1,06/30/2018 12:00:00 AM
Maryland State Department of Education - Eearly Childhood Preschool Special Ed Pgm,New Beginnings Christian Learning Center,New Beginnings Christian Learning Center,21787,2015,111527,PREKINDERGARTEN EXPANSION PROGRAM,Grant,1,06/30/2015 12:00:00 AM
Maryland Technology Commercialization Fund,Cerebro Capital Inc.,Cerebro Capital Inc.,21224,2018,100000,Commercialization Investment,Loan,1,06/30/2018 12:00:00 AM
Governor's Office of Crime Control and Prevention,The Greater Washington Jewish Coalition Against Domestic Abuse (JCADA),The Greater Washington Jewish Coalition Against Domestic Abuse (jcada),20847,2018,12981.12,Service*Training*Officers*Prosecutors (STOP) Violence Against Women Formula Grant Program,Grant,1,06/30/2018 12:00:00 AM
Department Of Business and Economic Development/Maryland Enterprise Investment/Challenge Programs  and Fund,HEALTHIFY INC.,Healthify Inc.,10013,2014,100000,Challenge Investments,Grant,1,06/30/2014 12:00:00 AM
Governor's Office of Crime Control and Prevention/Governor's Office of Crime Control and Prevention,"TurnAround, Inc. (Baltimore County)","Turnaround, Inc. (baltimore County)",21286,2017,376739,VOCA Victim Assistance Formula Grant Program,Grant,1,06/30/2017 12:00:00 AM
Maryland Energy Administration/EE L&M Income Community Grants,Arc Baltimore - Baltimore County,Arc Baltimore - Baltimore County,21212-1528,2013,100000,Energy Efficiency Upgrades,Grant,1,06/30/2013 12:00:00 AM
State Department of Education/OTHER INSTITUTIONS,ALICE FERGUSON FOUNDATION INC,Alice Ferguson Foundation Inc,20607,2010,53486,ALICE FERGUSON FOUNDATION,Grant,1,06/30/2010 12:00:00 AM
Maryland Department of Education/TRANSITIONAL EDUCATION FUNDING,CHILDRENS CENTER GROUP AT WALKERSVILLE,Childrens Center Group At Walkersville,21793,2014,73189.01,HOYER,Grant,1,06/30/2014 12:00:00 AM
Department of Agriculture/Conservation Grants,Garrett Brothers,Garrett Brothers,21601,2009,57822,Cover Crop,Grant,1,06/30/2009 12:00:00 AM
Child Welfare Services,"SAN MAR CHILDREN'S HOME, INC.","San Mar Children's Home, Inc.",21713,2018,543365.23,Funds the treatment foster care program.,Grant,1,06/30/2018 12:00:00 AM
Military Department/Maryland Emergency Management Agency,TALMUDICAL ACADEMY,Talmudical Academy,21208,2014,70104.02,UASI NONPROFIT SECURITY GRANT PROGRAM FFY12,Grant,1,06/30/2014 12:00:00 AM
Maryland Energy Administration/LMI Community Grants,Diversified Housing Development - Baltimore County,Diversified Housing Development - Baltimore County,21244-3125,2014,150000,Energy Efficiency Grants for efficiency upgrades in the Low and Moderate Income sector.,Grant,1,06/30/2014 12:00:00 AM
Maryland Energy Administration/EE L&M Income Community Grants,Visions America Community Development,Visions America Community Development,21613-2809,2013,50000,Energy Efficiency Upgrades,Grant,1,06/30/2013 12:00:00 AM
Department of Business and Economic Development - Film Production Credit Program,Knight Takes King Productions LLC,Knight Takes King Productions Llc,90212,2015,7500000,"FILM PRODUCTION GRANT FOR ""HOUSE OF CARDS""",Grant,1,06/30/2015 12:00:00 AM
Boards and Commissions/Hospital Based Domestic Violence,"Sinai Hospital of Baltimore, Inc.","Sinai Hospital Of Baltimore, Inc.",21215,2014,60790.85,VOCA Victim Assistance Formula Grant Program,Grant,1,06/30/2014 12:00:00 AM
Department of Health and Mental Hygiene - Prevention and Health Promotion Administration,Children's National Medical Center,Children's National Medical Center,20010,2015,126368,Medical Genetics & Systems Development,Grant,1,06/30/2015 12:00:00 AM
Department of Housing and Community Development/RHPP Harry &Jeanette Weinberg,Bethai Co & Capitol,Bethai Co & Capitol,21401,2014,114253,Rental Housing Production Program (RHPP) Harry & Jeanette Weinberg,Loan,1,06/30/2014 12:00:00 AM
Maryland Department of Education/FOOD SERVICES PROGRAM,RAINBOW ADULT DAY HEALTH CARE OF MONTG COUNTY LLC,Rainbow Adult Day Health Care Of Montg County Llc,20877-4131,2014,318618.94,CASH FOR COMMODITIES- CHILD CARE,Grant,1,06/30/2014 12:00:00 AM
Department of The Environment/Lead Poisoning Prevention,"Coalition End Childhood Lead Poisoning, Inc.","Coalition End Childhood Lead Poisoning, Inc.",21224,2012,165123.73,Lead Poisoning Prevention Grant,Grant,1,06/30/2012 12:00:00 AM
State Department of Education/State Aided Educational Institutions,OLNEY THEATRE CENTER,Olney Theatre Center,20832,2016,125586,State Aided Institutions,Grant,1,06/30/2016 12:00:00 AM
Boards and Commissions/Community Conferencing,"Conflict Resolution Center of Baltimore County, Inc.","Conflict Resolution Center Of Baltimore County, Inc.",21221,2014,58575,Juvenile Accountability Block Grants Program,Grant,1,06/30/2014 12:00:00 AM
Maryland Department of Education/FOOD SERVICES PROGRAM,EXCELLENT START LEARNING CENTER,Excellent Start Learning Center,21244,2013,4511,CASH FOR COMMOD - CHILD CARE,Grant,1,06/30/2013 12:00:00 AM
Maryland State Department of Education/DIVISION OF EARLY CHILDHOOD DEVELOPMENT,THE LITERACY LAB,The Literacy Lab,20001,2017,75000,Prekindergarten Expansion Program,Grant,1,06/30/2017 12:00:00 AM
Department Of Business and Economic Development/MD Biotechnology Center,"CORDEX SYSTEMS,INC.","Cordex Systems,inc.",21403,2014,100000,Biotechnology Center Grant - Translational Research Award,Grant,1,06/30/2014 12:00:00 AM
Department of Business and Economic Development/Maryland State Arts Council,EVERYMAN THEATRE INC,"Everyman Theatre, Inc.",21201-5801,2011,96175,Grants to Arts Organizations,Grant,1,06/30/2011 12:00:00 AM
State Department of Education/STUDENTS WITH DISABILITIES,BENEDICTINE SCHOOL FOR EXCEPTIONAL CHILDREN INC,Benedictine School For Exceptional Children Inc,21660,2010,152073,NON- PUBLIC PLACEMENTS,Grant,1,06/30/2010 12:00:00 AM
Boards and Commissions/Governor's Office of Crime Control and Prevention,Family & Children's Services of Central MD,Family & Children's Services Of Central Md,21209-4914,2011,96161,Child Abuse Treatment Services,Grant,1,06/30/2011 12:00:00 AM
Photovoltaic (PV) in Parking Lots Grants Program,Frederick Memorial Hospital,Frederick Memorial Hospital,21701,2018,200000,Grants to support the installation of Solar Photovoltaic (PV) parking canopies throughout Maryland,Grant,1,06/30/2018 12:00:00 AM
Department of Health and Mental Hygiene/Prevention and Disease Control,James Lawrence Kernan Hospital,James Lawrence Kernan Hospital,21207,2011,750000,Montebello Subsidy,Grant,1,06/30/2011 12:00:00 AM
Department Of Business and Economic Development/MD State Arts Council  -,GARRETT CO ARTS COUNCIL,Garrett Co Arts Council,21550,2012,81295,Community Arts Development,Grant,1,06/30/2012 12:00:00 AM
Department Of Business and Economic Development/MD Economic Development Assistance Authority & Fund-MEDAAF,EA ENGINEERING SCIENCE & TECHNOLOGY INC,Ea Engineering Science & Technology Inc,21031,2014,200000,MD Economic Development Assistance Authority & Fund,Loan,1,06/30/2014 12:00:00 AM
Maryland Energy Administration/Clean Cities/Hybrid Truck,Efficiency Enterprises,Efficiency Enterprises,21226-1600,2011,176189,Hybrid Trucks,Grant,1,06/30/2011 12:00:00 AM
Military Department/Maryland Emergency Management Agency (MEMA),MARYLAND STATE FIREMEN'S ASSOCIATION,Maryland State Firemen's Association,21401,2017,350000,MSFA Widows & Orphans Grant,Grant,1,06/30/2017 12:00:00 AM
Maryland Department of Education/ASSIST TO STATE FOR ED STUDENTS W/DISABILITIES,SPECIAL OLYMPICS MARYLAND,Maryland Special Olympics,21090,2013,93000,IDEA-PART B - STATE GRANTS DISCRETIONARY,Grant,1,06/30/2013 12:00:00 AM
State Department of Education/Head Start,Anne Arundel County Economic Opportunity Comm Inc,Anne Arundel County Economic Opportunity Comm Inc,21401,2009,126996,Head Start,Grant,1,06/30/2009 12:00:00 AM
Department of Agriculture/Maryland Agricultural Cost Share (Capital - Bonds),"VINH, MINH",Minh Vinh,21853,2009,69909,Install Best Mgmt Practice (BMP) on Farm,Grant,1,06/30/2009 12:00:00 AM
Department of Agriculture/COVER CROP,WILLIAM T MOORE JR,William T Moore Jr,21028,2014,70626.5,"Cover Crop Program Grant, CREP Program",Grant,1,06/30/2014 12:00:00 AM
Maryland Energy Administration/Photovoltaic (PV) in Parking Lots Grants Program,Wor-Wic Canopy,Wor-wic Canopy,21811,2016,120000,PV Solar Canopy over an existing parking lot to power EV chargers,Grant,1,06/30/2016 12:00:00 AM
"Executive Department - Boards, Commissions and Offices/Governor's Office of Crime Control and Prevention","Family Crisis Center, Inc. of Prince George's County","Family Crisis Center, Inc. Of Prince George's County",20722,2016,46270.83,Domestic Violence Protection Program,Grant,1,06/30/2016 12:00:00 AM
"Executive Department - Boards, Commissions and Offices/Governor's Office of Crime Control and Prevention","Family Crisis Resource Center, Inc.","Family Crisis Resource Center, Inc.",21502,2016,113969.67,Victims of Crime Act,Grant,1,06/30/2016 12:00:00 AM
Maryland Energy Administration/C&I Deep Energy Retrofit Program,369 LLC,369 Llc,20850,2017,123230,Implement energy conservation measures,Grant,1,06/30/2017 12:00:00 AM
